學年度別,學制別,總計,升學/合計,升學/大學校院,升學/專科學校,升學/高中或高職,升學/師專師院,升學/軍警學校,升學/其他,就業/合計,就業/農林漁牧業,就業/礦業及土石採取業,就業/製造業營建工程業,就業/用水電力燃氣供應及污染整治業,就業/批發零售住宿及餐飲業,就業/金融保險及不動產業,就業/運輸倉儲資訊及通訊業,就業/公共行政及國防,就業/其他,閒居,其他
105年,總計,30400,28571,27814,163,-,-,105,489,1080,5,-,46,5,654,7,83,11,269,422,327
105年,高中,19467,19095,18610,1,-,-,77,407,49,2,-,4,-,26,1,1,4,11,243,80
105年,高職,10933,9476,9204,162,-,-,28,82,1031,3,-,42,5,628,6,82,7,258,179,247
106年,總計,31762,29749,28808,93,-,-,163,685,968,7,-,31,11,508,8,38,8,357,656,389
106年,高中,20496,19815,19093,9,-,-,98,615,55,6,-,1,-,20,-,1,4,23,497,129
106年,高職,11266,9934,9715,84,-,-,65,70,913,1,-,30,11,488,8,37,4,334,159,260
107年,總計,30426,27991,27222,40,-,-,124,605,1170,2,2,76,9,607,8,49,25,392,824,441
107年,高中,19613,18787,18139,2,-,-,86,560,59,2,-,8,2,18,1,3,5,20,625,142
107年,高職,10813,9204,9083,38,-,-,38,45,1111,-,2,68,7,589,7,46,20,372,199,299
108年,總計,26628,24948,24463,38,-,-,111,336,793,5,2,34,5,335,5,26,19,362,659,228
108年,高中,18360,17737,17340,-,-,-,79,318,38,1,-,3,-,13,-,2,5,14,514,71
108年,高職,8268,7211,7123,38,-,-,32,18,755,4,2,31,5,322,5,24,14,348,145,157
