Year,Total,Amount,Rate
57,13914,7438,53
58,14759,6754,46
59,18797,7779,41
60,10911,7908,72
61,13767,10189,74
62,12949,9829,76
63,12393,8499,69
64,12966,8702,67
65,11884,8455,71
66,12988,8313,64
67,13150,9013,69
68,12208,8674,71
69,13316,9595,72
70,14019,10233,73
71,14249,10156,71
72,14084,9399,67
73,14372,9430,66
74,14705,9239,63
75,14817,9872,67
76,15572,10514,68
77,16276,10370,64
78,15984,10822,68
79,16057,11633,72
80,16272,12410,76
81,16523,13195,8
82,18547,14326,77
83,18483,14060,76
84,19131,14406,75
85,19353,15392,80
86,19930,16136,81
87,20910,16696,80
88,22903,18796,82
89,23309,19291,83
90,24165,20564,85
91,24761,21740,88
92,22858,20669,90
93,24034,21990,91
94,24952,23149,93
95,25402,24227,95
96,25613,24684,96
97,25271,24486,97
98,24596,23798,97
99,24310,23389,96
100,24008,23143,96
101,23866,23135,97
102,24185,23496,97
103,23831,23260,98
104,21660,21199,98
105,19467,19095,98
106,20496,19815,97
107,19613,18787,96
108,18360,17737,97
